Features,Cover,Gain,NA_full,NA_target,Path,Field,ValueType,Units
34-0.0,0.4826666666666667,1.4940057411421226,0.0,0.0,,34-0.0,,
21022-0.0,0.07666666666666667,1.2111852734419923,0.0,0.0,,21022-0.0,,
21003-0.0,0.09044444444444444,0.41946019042850113,0.0,0.0,,21003-0.0,,
400-0.0,0.2808888888888889,0.2415959087289524,3.7,10.2,,400-0.0,,
2188-0.0_c1,0.08977777777777778,0.17993832201764853,0.0,0.0,,2188-0.0_c1,,
137-0.0,0.1771111111111111,0.11909040167872446,0.2,0.4,,137-0.0,,
6142-0.0_pos,0.05133333333333333,0.0858464569854335,0.0,0.0,,6142-0.0_pos,,
6142-0.3_pos,0.006222222222222223,0.08065611564154714,0.0,0.0,,6142-0.3_pos,,
20110-0.4_pos,0.18666666666666665,0.06655595495696677,0.0,0.0,,20110-0.4_pos,,
6146-0.1_pos,0.051555555555555556,0.06207648244779381,0.0,0.0,,6146-0.1_pos,,
20023-0.0,0.16466666666666668,0.06085853582843789,1.1,2.9,,20023-0.0,,
30710-0.0,0.20666666666666667,0.054320522737999005,6.7,8.1,,30710-0.0,,
2188-0.0_c0,0.005333333333333333,0.03690765155945587,0.0,0.0,,2188-0.0_c0,,
2296-0.0_c0,0.0911111111111111,0.03223923250552614,0.0,0.0,,2296-0.0_c0,,
3526-0.0,0.114,0.030675017146097203,42.0,17.2,,3526-0.0,,
135-0.0,0.04622222222222223,0.030208982246145908,0.2,0.4,,135-0.0,,
1835-0.0_c0,0.03155555555555556,0.024526426613711436,0.0,0.0,,1835-0.0_c0,,
2492-0.0_c1,0.03911111111111111,0.023930056260844726,0.0,0.0,,2492-0.0_c1,,
1080-0.0,0.046,0.022924940864805152,1.9,3.8,,1080-0.0,,
30650-0.0,0.07955555555555555,0.0227044580348322,6.9,8.0,,30650-0.0,,
20107-0.4_pos,0.084,0.021096915036157765,0.0,0.0,,20107-0.4_pos,,
1060-0.0,0.05488888888888889,0.020918280531940104,6.7,9.7,,1060-0.0,,
1588-0.0,0.04955555555555556,0.020729778450397973,31.2,38.1,,1588-0.0,,
2178-0.0_c3,0.03044444444444444,0.020303705023080987,0.0,0.0,,2178-0.0_c3,,
1200-0.0_c0,0.08244444444444445,0.019108699592993696,0.0,0.0,,1200-0.0_c0,,
20127-0.0,0.0631111111111111,0.018185608550167938,20.0,27.1,,20127-0.0,,
20110-0.1_neg,0.059555555555555556,0.016952057375448276,0.0,0.0,,20110-0.1_neg,,
30040-0.0,0.06155555555555556,0.01665010934270788,4.8,6.1,,30040-0.0,,
3064-0.0,0.055555555555555566,0.01365635619298218,9.6,14.0,,3064-0.0,,
1070-0.0,0.03111111111111111,0.013369863645518428,1.1,2.3,,1070-0.0,,
4642-0.0_c1,0.05155555555555555,0.013119645749380467,0.0,0.0,,4642-0.0_c1,,
1090-0.0,0.04622222222222223,0.012689793343517036,2.0,3.6,,1090-0.0,,
23112-0.0,0.04733333333333333,0.011262486591925478,2.0,3.7,,23112-0.0,,
2000-0.0_c0,0.050222222222222224,0.010568802836656564,0.0,0.0,,2000-0.0_c0,,
3637-0.0_c6,0.034888888888888886,0.010183600986766503,0.0,0.0,,3637-0.0_c6,,
30510-0.0,0.03933333333333333,0.009729468297111908,3.6,5.7,,30510-0.0,,
2473-0.0_c1,0.03022222222222222,0.009589802346833123,0.0,0.0,,2473-0.0_c1,,
23111-0.0,0.03888888888888889,0.009409964410650085,2.0,3.7,,23111-0.0,,
30670-0.0,0.029555555555555557,0.009297445418569262,6.6,7.8,,30670-0.0,,
23116-0.0,0.034444444444444444,0.008830000256435334,2.0,3.7,,23116-0.0,,
6164-0.1_pos,0.026,0.007985204392258966,0.0,0.0,,6164-0.1_pos,,
2443-0.0_c0,0.024444444444444442,0.00797041684871551,0.0,0.0,,2443-0.0_c0,,
30720-0.0,0.025333333333333333,0.007783118722650065,6.5,7.8,,30720-0.0,,
738-0.0_c0,0.016888888888888887,0.007773549077598106,0.0,0.0,,738-0.0_c0,,
30180-0.0,0.03911111111111111,0.007679623133769735,5.0,6.2,,30180-0.0,,
2784-0.0_c0,0.016888888888888887,0.007506604042767767,0.0,0.0,,2784-0.0_c0,,
23115-0.0,0.025111111111111112,0.0071742897456586775,2.0,3.7,,23115-0.0,,
20111-0.4_pos,0.033111111111111105,0.00700636009233453,0.0,0.0,,20111-0.4_pos,,
2694-0.0_c0,0.019333333333333334,0.006988824866538032,0.0,0.0,,2694-0.0_c0,,
1618-0.0_c0,0.026444444444444444,0.006756482430935747,0.0,0.0,,1618-0.0_c0,,
1488-0.0,0.03377777777777778,0.006733221124497215,0.4,0.9,,1488-0.0,,
2257-0.0_c1,0.026666666666666665,0.0065177069804338295,0.0,0.0,,2257-0.0_c1,,
46-0.0,0.02911111111111111,0.006437460976118836,0.7,1.1,,46-0.0,,
30050-0.0,0.021777777777777778,0.006318090381302981,4.8,6.1,,30050-0.0,,
6138-0.0_c6,0.008666666666666666,0.006132361017351005,0.0,0.0,,6138-0.0_c6,,
30270-0.0,0.013333333333333334,0.006076068435429217,6.5,7.3,,30270-0.0,,
30620-0.0,0.033111111111111105,0.005890211253473887,6.6,7.8,,30620-0.0,,
23107-0.0,0.02622222222222222,0.005774737931143431,1.9,3.7,,23107-0.0,,
3062-0.0,0.019555555555555555,0.005621862191541306,9.6,14.0,,3062-0.0,,
30200-0.0,0.029777777777777778,0.005426374003633122,5.0,6.2,,30200-0.0,,
2139-0.0,0.020666666666666667,0.005270042047003773,13.3,23.2,,2139-0.0,,
398-0.0,0.01622222222222222,0.0050593440468764605,0.9,1.8,,398-0.0,,
1011-0.0_c6,0.021333333333333333,0.004993172437952821,0.0,0.0,,1011-0.0_c6,,
